Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
g	j	U	39	0.829787234042553
l	@	R	213	0.828793774319066
n	j	u	123	0.825503355704698
8	R	 	163	0.819095477386935
b	r	6	18	0.818181818181818
9	s	n	9	0.818181818181818
@	b	P	489	0.813643926788686
j	u	f	13	0.8125
U	l	f	17	0.80952380952381
k	j	U	145	0.805555555555556
Q	n	d	91	0.805309734513274
g	r	i	69	0.802325581395349
{	n	z	36	0.8
@	n	f	60	0.8
J	w	3	4	0.8
D	@	h	4	0.8
H	I	z	4	0.8
Q	f	T	4	0.8
4	@	b	4	0.8
7	b	P	8	0.8
1	f	U	4	0.8
$	n	J	12	0.8
H	I	s	20	0.8
l	S	H	8	0.8
u	l	h	4	0.8
n	I	s	969	0.795566502463054
p	r	Q	163	0.795121951219512
s	I	N	125	0.791139240506329
s	k	w	83	0.79047619047619
g	r	1	97	0.788617886178862
d	E	T	11	0.785714285714286
l	I	 	2594	0.78226779252111
p	j	U	50	0.78125
b	P	 	651	0.779640718562874
9	l	2	7	0.777777777777778
T	r	5	28	0.777777777777778
f	l	3	7	0.777777777777778
j	u	g	14	0.777777777777778
7	s	l	35	0.777777777777778
2	v	3	14	0.777777777777778
E	l	f	118	0.776315789473684
p	l	1	138	0.775280898876405
@	m	p	100	0.775193798449612
f	l	6	24	0.774193548387097
4	n	t	58	0.773333333333333
3	s	t	34	0.772727272727273
k	I	N	139	0.772222222222222
z	3	v	27	0.771428571428571
5	l	d	134	0.770114942528736
z	j	u	10	0.769230769230769
N	g	P	56	0.767123287671233
#	s	k	29	0.763157894736842
D	@	l	16	0.761904761904762
f	r	i	76	0.76
j	u	t	170	0.758928571428571
I	n	d	269	0.757746478873239
f	I	S	90	0.756302521008403
b	r	1	99	0.755725190839695
z	@	b	34	0.755555555555556
t	r	1	158	0.752380952380952
f	r	4	3	0.75
t	s	P	3	0.75
2	i	v	3	0.75
T	r	V	6	0.75
7	f	U	9	0.75
p	l	V	48	0.75
H	t	i	3	0.75
