Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
k	b	3	1	0.0454545454545455
u	t	E	1	0.0454545454545455
i	J	k	1	0.0454545454545455
#	T	w	1	0.0454545454545455
m	S	i	1	0.0454545454545455
d	2	h	1	0.0454545454545455
i	n	f	1	0.0454545454545455
6	d	b	1	0.0454545454545455
m	h	i	1	0.0454545454545455
6	n	b	1	0.0454545454545455
5	I	f	1	0.0454545454545455
#	p	w	1	0.0454545454545455
v	1	@	5	0.0454545454545455
m	s	i	1	0.0454545454545455
v	4	@	5	0.0454545454545455
d	P	h	1	0.0454545454545455
k	S	3	1	0.0454545454545455
n	i	k	20	0.0453514739229025
b	E	s	10	0.0452488687782805
s	V	l	33	0.0452054794520548
v	P	r	8	0.0451977401129944
f	H	 	13	0.0451388888888889
k	3	s	12	0.0451127819548872
m	5	l	24	0.0451127819548872
S	i	l	6	0.0451127819548872
V	g	@	17	0.044973544973545
V	k	@	17	0.044973544973545
V	p	@	17	0.044973544973545
 	f	@	68	0.044973544973545
 	l	V	75	0.0449640287769784
u	b	@	16	0.0449438202247191
5	t	{	4	0.0449438202247191
Q	v	r	4	0.0449438202247191
u	b	l	4	0.0449438202247191
u	T	l	4	0.0449438202247191
Q	s	r	4	0.0449438202247191
l	5	v	11	0.0448979591836735
h	{	t	7	0.0448717948717949
s	n	Q	10	0.0448430493273543
V	g	I	16	0.0448179271708683
d	v	@	12	0.0447761194029851
p	U	J	3	0.0447761194029851
{	g	j	6	0.0447761194029851
p	#	J	3	0.0447761194029851
{	m	S	3	0.0447761194029851
I	d	{	12	0.0447761194029851
I	t	s	35	0.0446998722860792
n	k	@	64	0.0446927374301676
V	m	l	5	0.0446428571428571
V	f	l	5	0.0446428571428571
@	p	{	14	0.0445859872611465
d	1	l	13	0.0445205479452055
d	7	l	13	0.0445205479452055
k	Q	t	30	0.0445103857566766
7	t	l	2	0.0444444444444444
m	i	b	2	0.0444444444444444
t	i	_	4	0.0444444444444444
3	f	j	2	0.0444444444444444
{	m	z	2	0.0444444444444444
z	$	b	2	0.0444444444444444
1	p	m	2	0.0444444444444444
l	Q	r	12	0.0444444444444444
1	E	m	2	0.0444444444444444
n	E	p	8	0.0444444444444444
{	d	z	2	0.0444444444444444
1	I	s	2	0.0444444444444444
{	g	z	2	0.0444444444444444
7	d	l	2	0.0444444444444444
z	i	b	2	0.0444444444444444
3	l	j	2	0.0444444444444444
7	t	 	26	0.0444444444444444
1	d	m	2	0.0444444444444444
l	@	k	31	0.0444126074498567
I	v	I	90	0.0443349753694581
p	$	R	9	0.0443349753694581
t	1	k	44	0.0443101711983887
2	s	@	12	0.044280442804428
f	i	t	12	0.044280442804428
s	f	3	5	0.0442477876106195
I	S	l	36	0.0441717791411043
m	Q	n	70	0.0441361916771753
E	D	@	41	0.0441334768568353
w	1	l	15	0.0441176470588235
2	m	I	12	0.0441176470588235
I	d	1	27	0.0441176470588235
n	$	d	6	0.0441176470588235
I	_	E	26	0.0440677966101695
I	h	E	26	0.0440677966101695
 	5	p	33	0.0440587449933244
p	E	s	20	0.0440528634361234
 	r	4	7	0.0440251572327044
h	3	d	11	0.044
b	6	t	19	0.0439814814814815
b	u	t	19	0.0439814814814815
2	t	r	8	0.043956043956044
l	5	g	9	0.0439024390243902
l	1	g	9	0.0439024390243902
n	v	Q	5	0.043859649122807
I	N	r	15	0.043859649122807
@	f	3	5	0.043859649122807
w	I	 	5	0.043859649122807
@	m	3	5	0.043859649122807
w	#	 	5	0.043859649122807
b	V	n	17	0.0438144329896907
b	Q	n	17	0.0438144329896907
l	6	@	23	0.0438095238095238
f	h	{	6	0.0437956204379562
 	g	V	73	0.0437649880095923
f	$	k	14	0.04375
I	t	b	7	0.04375
_	1	 	7	0.04375
{	d	 	36	0.0436893203883495
{	d	I	43	0.0436105476673428
i	g	V	1	0.0434782608695652
2	l	m	2	0.0434782608695652
5	f	3	1	0.0434782608695652
u	d	i	1	0.0434782608695652
b	5	p	1	0.0434782608695652
u	v	i	1	0.0434782608695652
2	g	{	2	0.0434782608695652
U	d	S	1	0.0434782608695652
n	s	$	5	0.0434782608695652
#	r	5	2	0.0434782608695652
5	T	3	1	0.0434782608695652
n	J	9	2	0.0434782608695652
T	k	@	1	0.0434782608695652
p	d	6	1	0.0434782608695652
N	n	1	1	0.0434782608695652
m	2	@	12	0.0434782608695652
5	z	3	1	0.0434782608695652
#	k	5	2	0.0434782608695652
n	j	$	5	0.0434782608695652
f	1	n	15	0.0434782608695652
b	@	p	1	0.0434782608695652
u	m	i	1	0.0434782608695652
I	h	5	9	0.0434782608695652
r	2	E	1	0.0434782608695652
h	i	 	2	0.0434782608695652
i	k	V	1	0.0434782608695652
T	s	@	1	0.0434782608695652
{	g	P	6	0.0434782608695652
3	k	1	1	0.0434782608695652
i	t	V	1	0.0434782608695652
s	3	R	4	0.0434782608695652
U	k	S	1	0.0434782608695652
t	l	$	3	0.0434782608695652
T	t	@	1	0.0434782608695652
2	d	{	2	0.0434782608695652
2	n	g	1	0.0434782608695652
2	s	m	2	0.0434782608695652
s	t	g	3	0.0434782608695652
S	i	k	2	0.0434782608695652
f	3	T	1	0.0434782608695652
5	g	3	1	0.0434782608695652
r	1	E	1	0.0434782608695652
u	k	i	1	0.0434782608695652
V	v	m	2	0.0434782608695652
i	s	V	1	0.0434782608695652
k	s	1	6	0.0434782608695652
n	b	$	5	0.0434782608695652
b	I	p	1	0.0434782608695652
i	l	z	1	0.0434782608695652
U	#	S	1	0.0434782608695652
N	p	1	1	0.0434782608695652
i	g	z	1	0.0434782608695652
_	$	z	1	0.0434782608695652
I	w	8	3	0.0434782608695652
s	{	g	3	0.0434782608695652
#	v	5	2	0.0434782608695652
 	{	T	3	0.0434782608695652
h	1	 	2	0.0434782608695652
n	t	9	2	0.0434782608695652
S	E	k	2	0.0434782608695652
b	i	p	1	0.0434782608695652
{	z	P	6	0.0434782608695652
3	p	1	1	0.0434782608695652
 	1	T	3	0.0434782608695652
f	I	T	1	0.0434782608695652
2	h	{	2	0.0434782608695652
3	g	1	1	0.0434782608695652
p	h	6	1	0.0434782608695652
t	m	$	3	0.0434782608695652
b	t	r	9	0.0434782608695652
5	h	3	1	0.0434782608695652
6	s	r	1	0.0434782608695652
T	m	@	1	0.0434782608695652
@	z	E	23	0.0433145009416196
t	@	k	43	0.0433031218529708
w	$	n	13	0.0431893687707641
U	k	@	13	0.0431893687707641
@	n	l	25	0.0431778929188256
k	i	p	19	0.0430839002267574
d	1	n	23	0.0430711610486891
r	$	l	34	0.0430379746835443
r	E	l	34	0.0430379746835443
r	i	s	54	0.0430278884462151
i	@	t	4	0.043010752688172
t	H	 	56	0.043010752688172
{	s	@	46	0.0428704566635601
d	S	5	3	0.0428571428571429
6	I	s	3	0.0428571428571429
d	h	5	3	0.0428571428571429
d	d	{	3	0.0428571428571429
Q	k	5	3	0.0428571428571429
v	5	S	3	0.0428571428571429
d	m	{	3	0.0428571428571429
i	f	5	3	0.0428571428571429
i	b	5	3	0.0428571428571429
{	n	m	3	0.0428571428571429
n	t	m	14	0.0428134556574924
l	$	R	11	0.0428015564202335
3	D	I	15	0.0427350427350427
2	w	1	5	0.0427350427350427
f	l	@	7	0.0426829268292683
 	t	7	9	0.042654028436019
p	E	t	26	0.0426229508196721
l	v	I	15	0.0426136363636364
I	g	P	19	0.0426008968609865
{	b	I	42	0.0425963488843813
w	3	s	6	0.0425531914893617
m	l	Q	2	0.0425531914893617
s	i	n	28	0.0425531914893617
I	D	m	6	0.0425531914893617
n	$	J	2	0.0425531914893617
s	I	1	14	0.0425531914893617
t	j	#	2	0.0425531914893617
g	f	U	2	0.0425531914893617
k	V	b	6	0.0425531914893617
i	5	l	4	0.0425531914893617
n	3	J	2	0.0425531914893617
J	i	 	2	0.0425531914893617
p	{	v	2	0.0425531914893617
m	@	J	2	0.0425531914893617
#	m	1	2	0.0425531914893617
g	p	U	2	0.0425531914893617
J	#	 	2	0.0425531914893617
m	2	Q	2	0.0425531914893617
l	h	U	2	0.0425531914893617
t	b	#	2	0.0425531914893617
n	@	J	2	0.0425531914893617
I	5	m	6	0.0425531914893617
#	b	1	2	0.0425531914893617
p	5	v	2	0.0425531914893617
g	r	U	2	0.0425531914893617
r	5	v	16	0.0425531914893617
f	$	r	7	0.0424242424242424
r	i	 	45	0.0423728813559322
I	p	E	25	0.0423728813559322
I	v	E	25	0.0423728813559322
n	T	r	24	0.0423280423280423
n	k	r	24	0.0423280423280423
 	g	{	111	0.0423179565383149
5	p	s	3	0.0422535211267606
Q	k	p	6	0.0422535211267606
b	n	Q	3	0.0422535211267606
S	i	p	7	0.0421686746987952
u	s	@	15	0.0421348314606742
@	b	5	8	0.0421052631578947
@	s	5	8	0.0421052631578947
E	f	5	4	0.0421052631578947
E	s	5	4	0.0421052631578947
I	{	k	25	0.0420875420875421
I	f	3	5	0.0420168067226891
l	Q	l	5	0.0420168067226891
4	t	 	5	0.0420168067226891
t	2	g	5	0.0420168067226891
l	t	l	5	0.0420168067226891
l	2	l	5	0.0420168067226891
u	p	I	16	0.041994750656168
t	5	t	18	0.041958041958042
{	v	@	45	0.0419384902143523
g	1	n	9	0.0418604651162791
g	#	n	9	0.0418604651162791
 	p	2	58	0.0417867435158501
 	v	2	58	0.0417867435158501
I	{	n	15	0.0417827298050139
 	g	#	39	0.0417112299465241
f	{	d	4	0.0416666666666667
l	v	j	1	0.0416666666666667
2	m	f	1	0.0416666666666667
d	h	E	4	0.0416666666666667
J	{	f	1	0.0416666666666667
v	1	d	4	0.0416666666666667
2	I	t	4	0.0416666666666667
$	T	k	1	0.0416666666666667
n	t	f	7	0.0416666666666667
2	s	7	1	0.0416666666666667
2	{	f	1	0.0416666666666667
v	2	p	1	0.0416666666666667
r	I	Z	1	0.0416666666666667
$	m	k	1	0.0416666666666667
f	u	d	4	0.0416666666666667
@	b	S	1	0.0416666666666667
l	n	j	1	0.0416666666666667
@	l	S	1	0.0416666666666667
l	T	j	1	0.0416666666666667
7	m	@	2	0.0416666666666667
{	t	n	3	0.0416666666666667
s	t	J	1	0.0416666666666667
t	k	V	5	0.0416666666666667
v	P	d	4	0.0416666666666667
_	{	N	2	0.0416666666666667
l	I	j	1	0.0416666666666667
v	3	v	1	0.0416666666666667
s	u	J	1	0.0416666666666667
v	V	p	1	0.0416666666666667
b	@	j	1	0.0416666666666667
2	m	7	1	0.0416666666666667
l	@	T	2	0.0416666666666667
s	i	t	21	0.0416666666666667
l	b	j	1	0.0416666666666667
n	@	f	7	0.0416666666666667
d	s	E	4	0.0416666666666667
2	v	f	1	0.0416666666666667
r	1	h	2	0.0416666666666667
2	l	f	1	0.0416666666666667
i	Z	H	3	0.0416666666666667
I	s	#	4	0.0416666666666667
v	@	v	1	0.0416666666666667
p	1	g	3	0.0416666666666667
@	p	V	6	0.0416666666666667
2	t	7	1	0.0416666666666667
d	#	_	2	0.0416666666666667
l	p	u	1	0.0416666666666667
v	i	p	1	0.0416666666666667
2	p	f	1	0.0416666666666667
i	d	H	3	0.0416666666666667
#	_	p	1	0.0416666666666667
$	m	n	1	0.0416666666666667
b	s	j	1	0.0416666666666667
d	b	E	4	0.0416666666666667
m	n	7	1	0.0416666666666667
b	h	j	1	0.0416666666666667
v	#	d	4	0.0416666666666667
l	f	T	2	0.0416666666666667
l	$	j	1	0.0416666666666667
2	Q	t	4	0.0416666666666667
u	d	j	3	0.0416666666666667
#	l	p	1	0.0416666666666667
 	@	t	44	0.0415486307837583
k	#	t	28	0.0415430267062315
v	5	t	10	0.04149377593361
Q	b	 	33	0.0414572864321608
s	f	$	8	0.0414507772020725
E	l	t	48	0.0414507772020725
r	1	s	52	0.0414342629482072
d	H	t	13	0.0414012738853503
{	f	g	5	0.0413223140495868
{	l	g	5	0.0413223140495868
k	u	l	32	0.0412903225806452
t	s	i	4	0.0412371134020619
p	#	d	8	0.0412371134020619
U	n	I	8	0.0412371134020619
@	s	I	133	0.0412019826517968
 	f	{	108	0.0411742279832253
2	s	s	3	0.0410958904109589
m	5	_	3	0.0410958904109589
t	b	E	6	0.0410958904109589
E	s	l	3	0.0410958904109589
s	1	l	30	0.0410958904109589
$	p	@	18	0.0410958904109589
E	p	l	3	0.0410958904109589
$	k	@	18	0.0410958904109589
2	E	s	3	0.0410958904109589
1	t	P	3	0.0410958904109589
E	f	l	3	0.0410958904109589
s	{	l	30	0.0410958904109589
2	n	s	3	0.0410958904109589
d	5	l	12	0.0410958904109589
1	b	@	22	0.041044776119403
I	p	{	11	0.041044776119403
b	#	k	13	0.0410094637223975
 	g	5	49	0.0410041841004184
I	s	@	94	0.040994330571304
I	S	@	94	0.040994330571304
p	s	t	25	0.040983606557377
t	2	d	19	0.040948275862069
 	t	Q	82	0.0409385921118323
t	5	s	16	0.040920716112532
l	1	s	44	0.0408921933085502
I	r	I	83	0.0408866995073892
 	h	1	47	0.0408340573414422
 	S	1	47	0.0408340573414422
V	d	S	2	0.0408163265306122
i	d	1	2	0.0408163265306122
d	E	b	6	0.0408163265306122
l	{	v	10	0.0408163265306122
d	i	b	6	0.0408163265306122
m	E	f	2	0.0408163265306122
1	f	t	6	0.0408163265306122
l	@	v	10	0.0408163265306122
t	b	{	12	0.0408163265306122
E	S	P	4	0.0408163265306122
m	p	f	2	0.0408163265306122
i	S	1	2	0.0408163265306122
n	s	{	6	0.0408163265306122
 	m	u	29	0.0407876230661041
1	z	 	59	0.0407740152038701
s	t	m	15	0.0407608695652174
s	{	d	15	0.0407608695652174
l	9	r	11	0.0407407407407407
b	Q	s	9	0.0407239819004525
5	d	I	14	0.0406976744186047
n	f	1	7	0.0406976744186047
S	P	I	5	0.040650406504065
b	{	b	5	0.040650406504065
b	u	b	5	0.040650406504065
n	r	i	5	0.040650406504065
r	i	S	15	0.040650406504065
f	n	I	8	0.0406091370558376
f	Q	n	14	0.0405797101449275
f	V	s	11	0.0404411764705882
_	1	l	4	0.0404040404040404
m	q	N	4	0.0404040404040404
6	z	 	13	0.0403726708074534
3	_	 	19	0.0403397027600849
3	T	 	19	0.0403397027600849
3	v	 	19	0.0403397027600849
n	b	3	5	0.0403225806451613
d	@	S	5	0.0403225806451613
h	{	l	11	0.0402930402930403
h	i	l	11	0.0402930402930403
h	1	l	11	0.0402930402930403
#	n	 	22	0.0402930402930403
d	V	v	6	0.0402684563758389
d	m	I	18	0.0402684563758389
Q	S	 	32	0.0402010050251256
V	s	 	24	0.0400667779632721
{	N	 	33	0.0400485436893204
E	S	m	2	0.04
t	i	p	12	0.04
d	w	2	4	0.04
z	@	 	8	0.04
l	k	i	1	0.04
@	m	f	3	0.04
$	t	w	1	0.04
d	$	w	1	0.04
i	k	$	1	0.04
#	k	n	1	0.04
E	f	m	2	0.04
b	i	@	6	0.04
E	s	w	2	0.04
b	4	@	6	0.04
3	k	5	1	0.04
l	h	i	1	0.04
b	6	@	6	0.04
3	v	5	1	0.04
u	f	1	2	0.04
d	p	2	4	0.04
$	d	w	1	0.04
l	t	i	1	0.04
d	u	w	1	0.04
r	6	z	16	0.04
i	S	$	1	0.04
l	w	i	1	0.04
#	m	n	1	0.04
r	u	w	1	0.04
z	u	k	2	0.04
d	z	w	1	0.04
u	w	1	2	0.04
p	E	b	2	0.04
w	Q	_	1	0.04
u	z	1	2	0.04
r	#	w	1	0.04
b	@	_	1	0.04
u	l	1	2	0.04
f	s	i	4	0.04
E	k	m	2	0.04
l	4	i	1	0.04
S	n	{	1	0.04
$	k	P	1	0.04
z	i	n	5	0.04
1	k	f	2	0.04
E	l	w	2	0.04
@	b	4	2	0.04
T	i	n	2	0.04
E	t	w	2	0.04
Z	8	R	1	0.04
E	n	m	2	0.04
l	1	i	1	0.04
n	z	v	4	0.04
I	f	i	7	0.04
6	t	d	7	0.04
S	t	{	1	0.04
l	I	i	1	0.04
$	z	w	1	0.04
S	w	{	1	0.04
i	t	$	1	0.04
$	n	w	1	0.04
#	_	n	1	0.04
3	l	5	1	0.04
$	z	P	1	0.04
I	l	h	3	0.04
d	2	w	1	0.04
#	@	n	1	0.04
h	i	d	10	0.04
3	s	5	1	0.04
N	w	$	1	0.04
S	b	{	1	0.04
#	S	n	1	0.04
5	m	j	4	0.04
d	b	2	4	0.04
@	k	P	24	0.0399334442595674
U	r	@	12	0.0398671096345515
w	1	n	12	0.0398671096345515
h	2	n	10	0.0398406374501992
r	V	s	50	0.0398406374501992
E	d	@	37	0.0398277717976319
t	$	S	9	0.0398230088495575
r	5	_	8	0.0398009950248756
s	n	i	8	0.0398009950248756
2	n	l	7	0.0397727272727273
n	z	m	13	0.0397553516819572
3	J	@	13	0.0397553516819572
@	k	l	23	0.0397236614853195
n	r	5	5	0.0396825396825397
v	2	k	5	0.0396825396825397
n	m	5	5	0.0396825396825397
n	n	5	5	0.0396825396825397
n	p	5	5	0.0396825396825397
l	1	n	35	0.0396825396825397
l	#	n	35	0.0396825396825397
n	i	5	5	0.0396825396825397
 	b	j	19	0.0396659707724426
t	i	m	22	0.0396396396396396
t	$	m	22	0.0396396396396396
t	Q	m	22	0.0396396396396396
t	V	m	22	0.0396396396396396
f	5	m	8	0.0396039603960396
 	t	#	37	0.039572192513369
 	t	V	66	0.039568345323741
 	f	V	66	0.039568345323741
v	I	r	7	0.0395480225988701
l	g	1	3	0.0394736842105263
I	S	7	6	0.0394736842105263
m	f	{	3	0.0394736842105263
m	Q	l	21	0.0394736842105263
_	9	t	3	0.0394736842105263
k	@	f	3	0.0394736842105263
5	n	t	6	0.0394736842105263
v	7	b	3	0.0394736842105263
k	3	f	3	0.0394736842105263
l	m	1	3	0.0394736842105263
5	I	t	6	0.0394736842105263
E	n	f	6	0.0394736842105263
_	2	t	3	0.0394736842105263
s	@	v	13	0.0393939393939394
I	s	V	5	0.0393700787401575
b	E	t	17	0.0393518518518519
@	m	2	17	0.0393518518518519
d	{	n	21	0.0393258426966292
n	Q	l	22	0.0392857142857143
n	I	l	22	0.0392857142857143
I	S	 	221	0.0392330907154269
j	{	p	2	0.0392156862745098
l	s	5	2	0.0392156862745098
Q	N	S	2	0.0392156862745098
6	J	I	2	0.0392156862745098
2	f	5	2	0.0392156862745098
6	s	I	2	0.0392156862745098
p	H	m	4	0.0392156862745098
s	2	s	14	0.0392156862745098
m	r	5	2	0.0392156862745098
2	t	5	2	0.0392156862745098
g	5	@	6	0.0392156862745098
l	2	5	2	0.0392156862745098
$	D	H	2	0.0392156862745098
l	p	5	2	0.0392156862745098
2	b	5	2	0.0392156862745098
l	r	5	2	0.0392156862745098
l	t	5	2	0.0392156862745098
V	S	r	2	0.0392156862745098
j	5	p	2	0.0392156862745098
2	z	5	2	0.0392156862745098
m	j	5	2	0.0392156862745098
m	h	5	2	0.0392156862745098
$	f	H	2	0.0392156862745098
V	k	r	2	0.0392156862745098
 	_	E	99	0.0391613924050633
 	p	8	9	0.0391304347826087
s	k	 	53	0.0391143911439114
 	t	6	18	0.0390455531453362
2	k	 	47	0.0390041493775934
n	_	U	3	0.038961038961039
 	i	g	9	0.038961038961039
n	h	U	3	0.038961038961039
i	f	 	36	0.038961038961039
i	v	 	36	0.038961038961039
l	8	R	10	0.0389105058365759
r	6	@	4	0.0388349514563107
r	6	J	4	0.0388349514563107
I	g	@	89	0.0388137810728304
I	v	@	89	0.0388137810728304
n	f	r	22	0.0388007054673721
d	@	k	14	0.038781163434903
p	3	S	5	0.0387596899224806
p	t	2	5	0.0387596899224806
p	i	S	5	0.0387596899224806
d	7	R	11	0.0387323943661972
@	S	u	6	0.0387096774193548
s	2	f	8	0.0386473429951691
I	t	5	8	0.0386473429951691
b	$	r	8	0.0386473429951691
@	S	i	9	0.0386266094420601
k	5	t	26	0.0385756676557863
i	z	@	14	0.0385674931129477
k	l	@	17	0.0385487528344671
I	f	t	62	0.038533250466128
#	J	b	1	0.0384615384615385
@	p	m	2	0.0384615384615385
5	z	k	1	0.0384615384615385
5	m	Q	2	0.0384615384615385
#	m	b	1	0.0384615384615385
{	d	h	1	0.0384615384615385
E	p	J	4	0.0384615384615385
5	n	#	1	0.0384615384615385
t	P	h	1	0.0384615384615385
h	2	t	6	0.0384615384615385
#	Z	 	21	0.0384615384615385
g	h	E	3	0.0384615384615385
3	p	s	1	0.0384615384615385
5	t	Q	2	0.0384615384615385
{	N	h	1	0.0384615384615385
5	S	Q	2	0.0384615384615385
r	U	{	1	0.0384615384615385
{	g	h	1	0.0384615384615385
@	g	w	2	0.0384615384615385
J	5	z	1	0.0384615384615385
{	g	f	2	0.0384615384615385
v	r	I	9	0.0384615384615385
4	s	@	1	0.0384615384615385
3	v	s	1	0.0384615384615385
5	h	#	1	0.0384615384615385
#	s	b	1	0.0384615384615385
{	m	h	1	0.0384615384615385
r	1	Q	1	0.0384615384615385
4	k	@	1	0.0384615384615385
{	S	h	1	0.0384615384615385
3	s	s	1	0.0384615384615385
5	w	Q	2	0.0384615384615385
J	7	z	1	0.0384615384615385
I	z	Q	8	0.0384615384615385
m	f	I	9	0.0384615384615385
I	d	Q	8	0.0384615384615385
@	T	w	2	0.0384615384615385
#	7	r	1	0.0384615384615385
5	m	k	1	0.0384615384615385
r	7	{	1	0.0384615384615385
l	d	f	8	0.0384615384615385
k	8	R	8	0.0384615384615385
{	m	_	2	0.0384615384615385
w	8	z	4	0.0384615384615385
t	5	h	1	0.0384615384615385
{	k	f	2	0.0384615384615385
5	@	k	1	0.0384615384615385
@	d	w	2	0.0384615384615385
5	t	k	1	0.0384615384615385
l	5	f	8	0.0384615384615385
I	b	Q	8	0.0384615384615385
t	$	h	1	0.0384615384615385
#	z	b	1	0.0384615384615385
I	z	I	78	0.038423645320197
I	p	j	15	0.038265306122449
g	2	l	7	0.0382513661202186
g	Q	l	7	0.0382513661202186
g	1	l	7	0.0382513661202186
 	g	1	44	0.0382276281494353
d	E	t	12	0.0382165605095541
{	k	@	41	0.038210624417521
b	P	d	11	0.0381944444444444
t	w	I	38	0.0381909547738693
t	m	5	5	0.0381679389312977
k	@	 	41	0.0381395348837209
v	7	s	9	0.038135593220339
d	8	r	8	0.0380952380952381
n	5	g	4	0.0380952380952381
d	b	r	8	0.0380952380952381
{	s	5	4	0.0380952380952381
l	m	@	20	0.0380952380952381
m	i	g	4	0.0380952380952381
m	5	d	11	0.0380622837370242
m	V	d	11	0.0380622837370242
s	Q	m	14	0.0380434782608696
s	$	d	14	0.0380434782608696
s	@	d	14	0.0380434782608696
I	5	g	6	0.0379746835443038
I	v	$	5	0.0378787878787879
d	V	s	28	0.0378378378378378
5	f	I	13	0.0377906976744186
5	k	I	13	0.0377906976744186
h	i	z	2	0.0377358490566038
_	U	@	2	0.0377358490566038
 	m	4	6	0.0377358490566038
n	_	#	2	0.0377358490566038
n	p	#	2	0.0377358490566038
n	l	#	2	0.0377358490566038
n	d	#	2	0.0377358490566038
n	g	#	2	0.0377358490566038
_	i	@	2	0.0377358490566038
S	{	n	6	0.0377358490566038
h	1	p	4	0.0377358490566038
h	I	z	2	0.0377358490566038
p	3	t	23	0.0377049180327869
p	1	t	23	0.0377049180327869
E	f	@	35	0.0376749192680301
m	1	l	20	0.037593984962406
r	5	t	42	0.0375335120643432
s	@	S	3	0.0375
@	s	7	3	0.0375
I	p	b	6	0.0375
_	I	r	3	0.0375
s	3	S	3	0.0375
 	i	_	3	0.0375
@	f	7	3	0.0375
s	{	S	3	0.0375
n	{	l	21	0.0375
Q	s	I	34	0.0374862183020948
@	_	I	121	0.0374845105328377
 	S	U	13	0.037463976945245
 	r	U	13	0.037463976945245
d	2	n	20	0.0374531835205993
 	{	l	72	0.0374414976599064
l	5	n	33	0.0374149659863946
n	h	j	4	0.0373831775700935
1	n	@	20	0.0373134328358209
{	b	@	40	0.0372786579683131
d	s	p	6	0.0372670807453416
l	V	k	26	0.0372492836676218
 	h	i	49	0.0372057706909643
d	m	V	2	0.037037037037037
1	r	i	1	0.037037037037037
l	I	r	10	0.037037037037037
5	p	w	1	0.037037037037037
h	8	g	1	0.037037037037037
1	Z	i	1	0.037037037037037
m	f	j	1	0.037037037037037
V	b	w	1	0.037037037037037
b	3	m	3	0.037037037037037
z	E	t	4	0.037037037037037
#	t	j	1	0.037037037037037
$	k	Q	1	0.037037037037037
5	s	w	1	0.037037037037037
d	b	V	2	0.037037037037037
u	d	r	2	0.037037037037037
#	z	i	1	0.037037037037037
u	v	r	2	0.037037037037037
T	i	t	2	0.037037037037037
k	E	g	1	0.037037037037037
#	p	i	1	0.037037037037037
u	s	s	1	0.037037037037037
u	z	s	1	0.037037037037037
#	b	i	1	0.037037037037037
k	6	g	1	0.037037037037037
T	b	E	1	0.037037037037037
5	z	w	1	0.037037037037037
$	f	Q	1	0.037037037037037
T	@	t	2	0.037037037037037
1	_	i	1	0.037037037037037
i	t	2	1	0.037037037037037
#	m	j	1	0.037037037037037
k	5	g	1	0.037037037037037
u	n	s	1	0.037037037037037
U	l	l	1	0.037037037037037
l	8	r	10	0.037037037037037
i	f	2	1	0.037037037037037
#	n	i	1	0.037037037037037
T	7	t	2	0.037037037037037
5	J	w	1	0.037037037037037
k	u	g	1	0.037037037037037
m	@	j	1	0.037037037037037
u	l	s	1	0.037037037037037
U	k	l	1	0.037037037037037
z	$	t	4	0.037037037037037
h	2	g	1	0.037037037037037
U	@	l	1	0.037037037037037
T	#	t	2	0.037037037037037
5	t	w	1	0.037037037037037
k	$	g	1	0.037037037037037
T	I	E	1	0.037037037037037
u	k	r	2	0.037037037037037
#	f	i	1	0.037037037037037
5	l	w	1	0.037037037037037
V	t	w	1	0.037037037037037
i	w	2	1	0.037037037037037
b	{	m	3	0.037037037037037
h	i	g	1	0.037037037037037
#	k	i	1	0.037037037037037
 	d	9	2	0.037037037037037
f	@	l	25	0.0369822485207101
p	8	r	16	0.0369515011547344
$	s	I	11	0.0369127516778524
$	f	I	11	0.0369127516778524
2	k	@	10	0.03690036900369
2	f	@	10	0.03690036900369
f	3	t	10	0.03690036900369
 	l	6	17	0.0368763557483731
@	k	5	7	0.0368421052631579
 	d	5	44	0.0368200836820084
n	#	d	5	0.0367647058823529
n	4	d	5	0.0367647058823529
@	t	 	199	0.036763347496767
V	d	 	22	0.0367278797996661
d	z	m	13	0.0367231638418079
d	5	m	13	0.0367231638418079
r	2	m	26	0.0367231638418079
r	1	l	29	0.0367088607594937
l	#	m	16	0.036697247706422
n	d	m	12	0.036697247706422
J	E	l	4	0.036697247706422
b	Q	l	20	0.036697247706422
_	3	n	14	0.0366492146596859
r	Q	t	41	0.0366398570151921
t	E	d	17	0.0366379310344828
5	s	 	24	0.0365853658536585
f	3	b	3	0.0365853658536585
f	w	2	3	0.0365853658536585
f	k	@	6	0.0365853658536585
 	k	u	26	0.0365682137834037
p	1	l	17	0.0365591397849462
@	b	I	118	0.0365551425030979
w	i	n	11	0.0365448504983389
I	S	w	5	0.0364963503649635
I	N	w	5	0.0364963503649635
s	2	n	24	0.0364741641337386
V	t	I	13	0.0364145658263305
V	l	I	13	0.0364145658263305
J	4	s	2	0.0363636363636364
b	s	2	2	0.0363636363636364
v	6	@	4	0.0363636363636364
n	t	w	2	0.0363636363636364
i	l	w	2	0.0363636363636364
b	t	2	2	0.0363636363636364
d	i	z	4	0.0363636363636364
d	d	$	2	0.0363636363636364
V	p	g	2	0.0363636363636364
V	d	g	2	0.0363636363636364
i	s	w	2	0.0363636363636364
d	E	z	4	0.0363636363636364
i	m	w	2	0.0363636363636364
d	$	z	4	0.0363636363636364
@	g	#	6	0.0363636363636364
s	n	$	7	0.0362694300518135
E	m	 	25	0.036231884057971
{	s	P	5	0.036231884057971
j	3	R	3	0.036144578313253
V	b	f	3	0.036144578313253
_	4	s	6	0.036144578313253
t	P	f	7	0.0360824742268041
U	r	I	7	0.0360824742268041
