Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
3	r	14	1680	0.00833333333333333
T	5	8	960	0.00833333333333333
5	h	32	3894	0.00821777092963534
 	5	316	38731	0.00815883917275567
j	#	21	2577	0.00814901047729918
b	8	48	5896	0.00814111261872456
p	7	68	8362	0.00813202583114088
8	p	5	618	0.00809061488673139
8	h	5	618	0.00809061488673139
Q	T	36	4451	0.0080880700966075
{	z	50	6183	0.00808668930939673
i	E	27	3341	0.00808141275067345
t	w	143	17750	0.00805633802816901
l	s	112	13977	0.00801316448451027
r	U	97	12132	0.00799538410814375
5	_	31	3894	0.00796096558808423
t	#	141	17750	0.00794366197183099
P	b	18	2276	0.00790861159929701
P	n	18	2276	0.00790861159929701
f	6	39	4950	0.00787878787878788
@	z	143	18210	0.00785282811641955
m	f	64	8176	0.00782778864970646
d	s	73	9348	0.00780915703893881
p	S	65	8362	0.00777325998564937
$	w	20	2595	0.00770712909441233
v	V	26	3374	0.00770598695909899
m	3	63	8176	0.00770547945205479
d	7	72	9348	0.00770218228498074
f	s	38	4950	0.00767676767676768
J	w	10	1306	0.00765696784073507
J	u	10	1306	0.00765696784073507
E	T	49	6473	0.00756990576239765
S	#	27	3569	0.00756514429812272
d	w	70	9348	0.00748823277706461
i	5	25	3341	0.0074827895839569
f	8	37	4950	0.00747474747474748
n	z	119	15926	0.00747205826949642
m	n	61	8176	0.00746086105675147
 	Q	287	38731	0.0074100849448762
j	$	19	2577	0.00737291424136593
n	V	117	15926	0.00734647745824438
p	6	61	8362	0.00729490552499402
T	m	7	960	0.00729166666666667
T	t	7	960	0.00729166666666667
t	f	128	17750	0.0072112676056338
s	u	118	16407	0.00719205217285305
i	T	24	3341	0.00718347800059862
d	b	67	9348	0.00716730851519042
3	z	12	1680	0.00714285714285714
g	u	23	3223	0.00713620850139622
_	#	15	2114	0.00709555345316935
U	E	10	1413	0.00707714083510262
d	m	66	9348	0.00706033376123235
j	5	18	2577	0.0069848661233993
s	$	114	16407	0.00694825379411227
 	j	269	38731	0.0069453409413648
l	k	97	13977	0.00693997281247764
N	r	17	2456	0.00692182410423453
1	f	34	4913	0.0069204152249135
1	g	34	4913	0.0069204152249135
J	d	9	1306	0.00689127105666156
J	5	9	1306	0.00689127105666156
m	6	56	8176	0.00684931506849315
2	I	26	3805	0.00683311432325887
s	f	111	16407	0.00676540501005668
5	T	26	3894	0.00667693888032871
E	J	43	6473	0.00664297852618569
 	T	256	38731	0.00660969249438434
m	u	54	8176	0.00660469667318982
2	r	25	3805	0.00657030223390276
$	_	17	2595	0.00655105973025048
E	D	42	6473	0.0064884906534837
t	n	115	17750	0.00647887323943662
8	v	4	618	0.00647249190938511
8	S	4	618	0.00647249190938511
p	U	54	8362	0.00645778521884717
b	7	38	5896	0.00644504748982361
5	J	25	3894	0.00642013353877761
u	J	16	2516	0.00635930047694754
k	3	79	12444	0.00634844101575056
z	Q	18	2841	0.00633579725448786
i	h	21	3341	0.0062855432505238
 	$	243	38731	0.00627404404740389
T	2	6	960	0.00625
T	b	6	960	0.00625
T	6	6	960	0.00625
T	p	6	960	0.00625
m	s	51	8176	0.00623776908023483
v	8	21	3374	0.00622406639004149
6	I	7	1134	0.00617283950617284
P	t	14	2276	0.00615114235500879
9	t	3	488	0.00614754098360656
J	n	8	1306	0.00612557427258806
J	f	8	1306	0.00612557427258806
H	m	13	2124	0.00612052730696798
m	d	50	8176	0.00611545988258317
N	d	15	2456	0.00610749185667752
k	u	76	12444	0.00610736097717776
D	$	2	328	0.00609756097560976
D	6	2	328	0.00609756097560976
f	7	30	4950	0.00606060606060606
l	6	84	13977	0.0060098733633827
i	1	20	3341	0.00598623166716552
z	#	17	2841	0.00598380851812742
z	$	17	2841	0.00598380851812742
#	z	13	2179	0.00596603946764571
t	7	105	17750	0.00591549295774648
1	I	29	4913	0.00590270710360269
S	t	21	3569	0.00588400112076212
n	$	93	15926	0.00583950772321989
{	T	36	6183	0.00582241630276565
j	{	15	2577	0.00582072176949942
j	Q	15	2577	0.00582072176949942
k	i	72	12444	0.00578592092574735
t	u	102	17750	0.00574647887323944
l	7	80	13977	0.00572368891750733
P	w	13	2276	0.00571177504393673
N	t	14	2456	0.00570032573289902
i	w	19	3341	0.00568692008380724
7	w	7	1233	0.0056772100567721
U	f	8	1413	0.0056617126680821
U	J	8	1413	0.0056617126680821
n	T	90	15926	0.00565113650634183
H	r	12	2124	0.00564971751412429
z	V	16	2841	0.00563181978176698
S	2	20	3569	0.00560381059120202
u	D	14	2516	0.00556438791732909
d	v	52	9348	0.00556268720581943
t	m	98	17750	0.00552112676056338
2	g	21	3805	0.00551905387647832
2	Q	21	3805	0.00551905387647832
m	z	45	8176	0.00550391389432485
t	H	97	17750	0.00546478873239437
l	v	76	13977	0.00543750447163197
$	h	14	2595	0.00539499036608863
k	E	67	12444	0.00538412086145934
J	k	7	1306	0.00535987748851455
J	$	7	1306	0.00535987748851455
d	#	50	9348	0.0053487376979033
k	n	66	12444	0.00530376084860174
l	n	74	13977	0.00529441224869428
6	D	6	1134	0.00529100529100529
z	i	15	2841	0.00527983104540655
n	7	84	15926	0.00527439407258571
P	r	12	2276	0.00527240773286467
p	u	44	8362	0.0052618990672088
E	b	34	6473	0.00525258767186776
d	f	49	9348	0.00524176294394523
T	#	5	960	0.00520833333333333
T	k	5	960	0.00520833333333333
u	E	13	2516	0.00516693163751987
l	m	72	13977	0.0051513200257566
l	p	72	13977	0.0051513200257566
 	#	199	38731	0.00513800314993158
5	E	20	3894	0.00513610683102209
5	D	20	3894	0.00513610683102209
Z	8	1	195	0.00512820512820513
Z	E	1	195	0.00512820512820513
Z	U	1	195	0.00512820512820513
Z	I	1	195	0.00512820512820513
Z	u	1	195	0.00512820512820513
@	w	92	18210	0.00505216913783635
f	k	25	4950	0.00505050505050505
#	h	11	2179	0.00504818724185406
S	U	18	3569	0.00504342953208182
v	r	17	3374	0.0050385299347955
p	8	42	8362	0.00502272183688113
l	b	70	13977	0.00500822780281892
s	P	82	16407	0.00499786676418602
d	k	46	9348	0.00492083868207103
k	J	61	12444	0.00490196078431373
1	J	24	4913	0.00488499898229188
4	b	2	410	0.0048780487804878
4	E	2	410	0.0048780487804878
4	{	2	410	0.0048780487804878
4	N	2	410	0.0048780487804878
7	g	6	1233	0.0048661800486618
8	g	3	618	0.00485436893203883
8	 	3	618	0.00485436893203883
2	5	18	3805	0.00473061760840999
_	l	10	2114	0.00473036896877956
w	u	12	2582	0.00464756003098373
J	h	6	1306	0.00459418070444104
J	p	6	1306	0.00459418070444104
n	m	73	15926	0.00458369961069949
