No.	Word	Biphone joint trans logprob	Triphone joint trans logprob	Biphone avg trans logprob	Triphone avg trans logprob	Triphone avg centered logprob	Avg biphone prob	Avg triphone prob	NNB	NNB freq	Neighbors	GNM sim	GNM sim (adj.)	Nearest neighbors
14	flEt	-12.6277654814441	-8.24802556483699	-2.24865614874902	-2.02551259743481	-1.60331981670347	-5.18535717440318	-4.77505669765495	25	103.619295300981		0.789246732183147	2.03776492262825e-05	fret (3, 0.37500), fret (89, 0.37500), fret (1, 0.37500), flat (1411, 0.53846), flat (937, 0.53846)
15	flI_	-12.3958687888317	-8.84131881952191	-2.00069404361182	-1.77755049229761	-1.70584496522638	-5.24079575070626	-4.59407203945584	12	40.745949143808		0.289160971426481	7.46587930666601e-06	fridge (76, 0.37500), flitch (5, 0.54054), flit (1, 0.78571), flit (56, 0.78571), flick (59, 0.87179)
16	frIlg	-18.6896663858163	-inf	-2.44105724474808	-2.25873568795412	-2.26936482739535	-5.51586176318656	-5.12630693164551	4	12.6587266364408		0.0611752078563865	1.57948950082328e-06	frilled (14, 0.67647), frill (26, 0.70000), frills (24, 0.86111), frilly (25, 0.97872), fringe (298, 1.24291)
17	g8R	-10.6409637217874	-inf	-1.12876107001671	-0.841078997564927	-1.28236812677456	-5.51250182722432	-5.58799293259814	51	275.741306931263		0.754958348027201	1.94923536192508e-05	care (1713, 0.54545), care (2175, 0.54545), bare (80, 0.59259), bare (673, 0.59259), bear (290, 0.59259)
18	gEz	-13.3674662240408	-inf	-2.19427768208616	-1.90659560963437	-6.06228050142056	-6.25330773679622	-7.99193051985248	8	45.5716686393468		0.19937541457153	5.14769602053988e-06	guess (176, 0.61290), guess (1384, 0.61290), gaze (270, 0.70000), gaze (552, 0.70000), get (42717, 0.81081)
19	glid	-13.7439902886948	-9.23297799662226	-2.33636370428784	-2.11322015297363	-2.47899640835339	-5.80733730699464	-5.50702387006448	15	71.0777999437307		0.462352171521028	1.19375221791595e-05	greed (152, 0.37500), bleed (432, 0.59259), glean (38, 0.59375), glade (33, 0.62500), glebe (2, 0.69444)
20	glIp	-13.3669625494383	-9.04761413319404	-2.19846217465232	-1.97531862333811	-1.84997785559061	-5.29664682749536	-4.96421520044544	15	67.2804235198073		0.720753487538994	1.86092145190931e-05	grip (160, 0.37500), grip (261, 0.37500), grippe (289, 0.37500), clip (6, 0.54545), clip (85, 0.54545)
21	glIt	-11.5156225811605	-7.93681685896045	-1.87770477578117	-1.65456122446696	-1.97935187161781	-4.78644310270435	-4.28816245324479	18	59.5501290076525		0.488846554395138	1.2621583599575e-05	grit (10, 0.37500), grit (49, 0.37500), eaglet (1, 0.70000), gullet (38, 0.70000), lit (666, 0.70000)
22	gr2nt	-13.5768059471898	-12.8322941581142	-1.96724450311213	-1.78492294631817	-1.67164583892228	-5.16215011727537	-3.97230950382631	6	32.8010691047179		0.121196795371968	3.12919354966222e-06	grind (27, 0.58824), grind (491, 0.58824), grant (666, 0.78846), grant (785, 0.78846), grunt (139, 0.93548)
23	grEl	-12.0743303731233	-9.25442219173833	-2.22191017301367	-1.99876662169946	-1.51816181119184	-5.6953769963528	-4.77505669765495	8	30.7894795881994		0.19522439393111	5.04052035659059e-06	grill (51, 0.60870), grill (104, 0.60870), grille (68, 0.60870), grail (24, 0.70000), glen (27, 0.84868)
24	gud	-12.4762421742466	-inf	-2.35129782206714	-2.06361574961536	-3.00451235287132	-5.74090025137688	-6.14610382935415	30	135.612092567882		0.545840600571882	1.40931192216024e-05	gourd (25, 0.39189), goad (8, 0.55556), goad (41, 0.55556), goon (10, 0.59375), good (26038, 0.66667)
25	gwEn_	-17.5679796093468	-16.9298788964448	-2.37541496509166	-2.19309340829771	-1.61134777146444	-6.26688527713604	-6.46587421635743	1	4.23410650459726		0.0276745606757618	7.1453256243737e-07	gwen (67, 0.70000), quench (25, 1.08600), wench (10, 1.24054), wench (1, 1.24054), wend (5, 1.27500)
26	kIv	-10.494403044967	-10.4572501020901	-2.4482055015984	-2.16052342914662	-3.31865026413895	-5.34390080229327	-4.60867083887699	25	130.683323919169		0.257374246424015	6.64517431576812e-06	give (22921, 0.54545), kip (4, 0.77778), kip (5, 0.77778), cave (660, 0.84375), sieve (41, 0.86667)
27	krIlg	-18.2868968562517	-inf	-2.39221072913709	-2.20988917234313	-2.36298245183713	-5.26765285476667	-4.70951667418029	0	0		0.0157334556978032	4.06223843892571e-07	cringe (47, 1.24291), crick (9, 1.24545), crick (4, 1.24545), grill (51, 1.24545), grill (104, 1.24545)
28	lVm	-11.4239346604763	-6.71796218330039	-2.5799084148621	-2.29222634241032	-2.52231031027475	-5.93285712015451	-5.54092542174016	57	239.035122689376		1.03053904705862	2.66076023613804e-05	rum (86, 0.37500), rum (14, 0.37500), numb (61, 0.47368), numb (69, 0.47368), lung (427, 0.66667)
29	mIp	-10.938438089768	-inf	-2.54458501258469	-2.25690294013291	-3.29173629801846	-5.54078052671524	-4.4714697173635	45	195.311697218653		0.535104786064446	1.38159300318723e-05	mick (70, 0.57143), rip (17, 0.61905), rip (265, 0.61905), mitt (5, 0.67857), whip (254, 0.69231)
30	m3n	-12.0013520600381	-inf	-2.55125190544673	-2.26356983299495	-3.16824554681993	-5.53669142169543	-6.356175299101	33	180.676686282408		0.917203549375362	2.36813805317539e-05	moan (57, 0.31343), moan (237, 0.31343), burn (206, 0.58333), burn (1577, 0.58333), main (3459, 0.62121)
31	n1s	-12.1277383400112	-8.91218699965711	-2.54169025270074	-2.25400818024896	-3.26228865610653	-5.47566259615482	-5.67610020010841	37	186.743584062303		0.709019825058214	1.83062617814726e-05	lace (226, 0.47368), lace (82, 0.47368), race (1564, 0.56522), race (389, 0.56522), dace (38, 0.59375)
32	n5ld	-15.1852426918807	-7.53046008393772	-2.37433667224893	-2.15119312093472	-1.48947689012763	-5.80015594758598	-5.04749154068604	17	95.2742596611747		0.222189162179927	5.73672670935237e-06	gnarled (34, 0.67123), node (20, 0.70000), old (15279, 0.70000), old (270, 0.70000), knoll (35, 0.70000)
33	nVN	-12.6139561065884	-inf	-1.96281821546346	-1.67513614301167	-3.91374130439478	-6.22855077207095	-6.51032597892826	18	86.6154022193104		0.409399970529661	1.05703434078557e-05	lung (427, 0.47368), rung (53, 0.56522), dung (111, 0.59375), numb (61, 0.66667), numb (69, 0.66667)
34	p{Nk	-12.1701845237891	-7.98480300632031	-2.28816406410543	-2.06502051279122	-0.954145597510567	-5.4929869874607	-4.69609365384815	28	117.458747744036		0.41161567395045	1.06275509010986e-05	bank (3089, 0.56000), bank (98, 0.56000), tank (703, 0.67857), pack (353, 0.70000), pack (688, 0.70000)
35	pInt	-10.2745422283725	-7.92334718007206	-1.94426519648128	-1.72112164516707	-1.61788796194846	-4.64608864295957	-3.5640943491473	30	136.447267781523		0.519702059466084	1.34182453194104e-05	quint (307, 0.57143), pinch (70, 0.59375), pinch (169, 0.59375), tint (31, 0.67857), tint (42, 0.67857)
36	pl1k	-13.1545194393186	-9.14953041756472	-2.53396094641975	-2.31081739510554	-1.39732847664914	-5.44247524840797	-4.7710566923216	22	116.455126433591		0.418800230525554	1.08130497669968e-05	plague (129, 0.54545), plague (77, 0.54545), plate (995, 0.65385), plate (10, 0.65385), flake (124, 0.66667)
37	plIm	-11.368563980807	-10.9005434803853	-2.00641509204548	-1.78327154073127	-1.87379580139619	-4.936760395012	-4.68504381766156	13	46.1347415946545		0.407665504595757	1.05255610388515e-05	prim (74, 0.37500), prim (4, 0.37500), limb (436, 0.70000), limn (7, 0.70000), plum (108, 0.83636)
38	pl5mf	-19.1916345208875	-17.34007715207	-2.96443427689251	-2.78211272009855	-2.78982871813807	-5.92638803772889	-5.54437965660825	0	0		0.00667280166960098	1.7228580903155e-07	plume (57, 1.25556), plume (3, 1.25556), loaf (160, 1.40000), loaf (7, 1.40000), loam (21, 1.40000)
39	pl5nT	-17.6984603389773	-inf	-2.46034994892612	-2.27802839213217	-2.94556454137265	-5.91315672005524	-5.41171369026015	1	3.36729582998647		0.0146088072044204	3.77186419261585e-07	plinth (27, 0.94505), prone (121, 1.07500), clone (15, 1.27143), loan (624, 1.40000), loan (38, 1.40000)
