Phon1	Phon2	Phon3	Count	Phon1Phon2 Count	Prob(Phon3|Phon1Phon2)
#	t	l	10	276	0.036231884057971
#	t	s	10	276	0.036231884057971
#	t	m	10	276	0.036231884057971
n	t	E	93	2569	0.0362008563643441
I	d	E	38	1050	0.0361904761904762
h	5	 	6	166	0.036144578313253
$	d	j	10	277	0.036101083032491
3	v	j	4	111	0.036036036036036
3	v	1	4	111	0.036036036036036
s	f	l	4	111	0.036036036036036
s	f	i	4	111	0.036036036036036
s	l	V	24	666	0.036036036036036
s	p	5	33	916	0.0360262008733624
p	I	S	27	750	0.036
@	d	V	20	556	0.0359712230215827
@	d	$	20	556	0.0359712230215827
 	1	S	5	139	0.0359712230215827
n	i	T	5	139	0.0359712230215827
n	i	5	5	139	0.0359712230215827
n	i	b	5	139	0.0359712230215827
@	p	4	15	417	0.0359712230215827
 	1	b	5	139	0.0359712230215827
n	i	s	5	139	0.0359712230215827
@	d	m	20	556	0.0359712230215827
#	f	b	6	167	0.0359281437125748
@	_	@	7	195	0.0358974358974359
m	Q	s	8	223	0.0358744394618834
N	k	P	16	447	0.0357941834451902
2	t	h	18	503	0.0357852882703777
d	I	p	74	2068	0.0357833655705996
z	b	i	1	28	0.0357142857142857
#	S	m	1	28	0.0357142857142857
#	S	l	1	28	0.0357142857142857
s	s	n	1	28	0.0357142857142857
5	b	Q	5	140	0.0357142857142857
p	V	p	6	168	0.0357142857142857
V	f	n	5	140	0.0357142857142857
n	v	V	6	168	0.0357142857142857
n	r	u	2	56	0.0357142857142857
n	v	4	6	168	0.0357142857142857
3	t	P	7	196	0.0357142857142857
l	6	z	3	84	0.0357142857142857
I	I	T	1	28	0.0357142857142857
5	b	l	5	140	0.0357142857142857
p	V	k	6	168	0.0357142857142857
5	b	j	5	140	0.0357142857142857
p	J	2	1	28	0.0357142857142857
d	p	5	1	28	0.0357142857142857
#	S	n	1	28	0.0357142857142857
z	b	l	1	28	0.0357142857142857
n	7	b	3	84	0.0357142857142857
l	6	J	3	84	0.0357142857142857
z	b	4	1	28	0.0357142857142857
n	r	U	2	56	0.0357142857142857
I	r	2	9	252	0.0357142857142857
I	I	f	1	28	0.0357142857142857
d	p	8	1	28	0.0357142857142857
l	6	s	3	84	0.0357142857142857
z	b	#	1	28	0.0357142857142857
p	s	k	5	140	0.0357142857142857
d	p	@	1	28	0.0357142857142857
z	b	{	1	28	0.0357142857142857
z	b	U	1	28	0.0357142857142857
n	r	1	2	56	0.0357142857142857
z	b	Q	1	28	0.0357142857142857
m	6	r	2	56	0.0357142857142857
d	p	E	1	28	0.0357142857142857
I	I	d	1	28	0.0357142857142857
z	b	r	1	28	0.0357142857142857
5	b	$	5	140	0.0357142857142857
V	f	l	5	140	0.0357142857142857
s	s	u	1	28	0.0357142857142857
I	I	n	1	28	0.0357142857142857
r	{	b	31	868	0.0357142857142857
p	s	@	5	140	0.0357142857142857
z	b	E	1	28	0.0357142857142857
z	b	V	1	28	0.0357142857142857
#	S	1	1	28	0.0357142857142857
I	I	S	1	28	0.0357142857142857
5	b	5	5	140	0.0357142857142857
n	I	S	74	2074	0.0356798457087753
 	{	r	28	786	0.0356234096692112
d	E	t	12	337	0.0356083086053412
@	t	l	53	1489	0.035594358629953
n	2	 	8	225	0.0355555555555556
l	f	2	7	197	0.0355329949238579
l	f	d	7	197	0.0355329949238579
t	I	l	121	3407	0.0355151159377752
Q	N	h	6	169	0.0355029585798817
Q	N	d	6	169	0.0355029585798817
b	I	S	24	676	0.0355029585798817
r	1	v	31	874	0.0354691075514874
u	l	m	5	141	0.0354609929078014
t	#	Z	5	141	0.0354609929078014
t	#	r	5	141	0.0354609929078014
5	s	p	9	254	0.0354330708661417
k	V	f	13	367	0.0354223433242507
E	S	P	4	113	0.0353982300884956
k	5	d	11	311	0.0353697749196141
I	l	i	46	1301	0.0353574173712529
 	t	1	62	1756	0.0353075170842825
f	$	T	12	340	0.0352941176470588
I	5	t	3	85	0.0352941176470588
I	5	T	3	85	0.0352941176470588
I	5	p	3	85	0.0352941176470588
I	5	k	3	85	0.0352941176470588
l	V	b	11	312	0.0352564102564103
l	V	f	11	312	0.0352564102564103
l	V	N	11	312	0.0352564102564103
n	l	1	5	142	0.0352112676056338
n	l	E	5	142	0.0352112676056338
n	I	m	73	2074	0.0351976856316297
 	#	r	7	199	0.0351758793969849
m	1	 	9	256	0.03515625
 	T	E	9	256	0.03515625
 	T	i	9	256	0.03515625
{	r	7	11	313	0.0351437699680511
I	k	t	89	2534	0.0351223362273086
 	E	v	19	541	0.0351201478743068
I	b	l	10	285	0.0350877192982456
$	g	5	2	57	0.0350877192982456
n	g	Q	2	57	0.0350877192982456
g	P	m	4	114	0.0350877192982456
$	g	z	2	57	0.0350877192982456
$	g	m	2	57	0.0350877192982456
z	1	I	4	114	0.0350877192982456
s	$	n	4	114	0.0350877192982456
n	g	5	2	57	0.0350877192982456
s	$	g	4	114	0.0350877192982456
n	g	#	2	57	0.0350877192982456
 	f	@	68	1939	0.0350696235172769
r	Q	d	19	542	0.0350553505535055
 	h	6	52	1484	0.0350404312668464
m	V	t	7	200	0.035
Q	g	P	7	200	0.035
p	#	S	7	200	0.035
1	l	b	10	286	0.034965034965035
k	{	b	18	515	0.0349514563106796
I	g	I	18	515	0.0349514563106796
k	{	s	18	515	0.0349514563106796
Q	n	v	26	744	0.0349462365591398
s	p	$	32	916	0.0349344978165939
4	n	j	3	86	0.0348837209302326
4	n	I	3	86	0.0348837209302326
 	2	 	6	172	0.0348837209302326
b	$	R	6	172	0.0348837209302326
#	m	p	6	172	0.0348837209302326
d	H	l	3	86	0.0348837209302326
 	2	5	6	172	0.0348837209302326
#	m	l	6	172	0.0348837209302326
5	l	s	18	517	0.034816247582205
 	5	n	11	316	0.0348101265822785
r	I	f	112	3218	0.0348042262274705
v	1	d	4	115	0.0347826086956522
v	1	p	4	115	0.0347826086956522
t	n	2	4	115	0.0347826086956522
t	@	s	77	2216	0.0347472924187726
r	E	m	35	1008	0.0347222222222222
d	P	w	6	173	0.0346820809248555
b	V	v	7	202	0.0346534653465347
s	m	E	7	202	0.0346534653465347
s	m	i	7	202	0.0346534653465347
p	i	@	8	231	0.0346320346320346
Q	t	h	11	318	0.0345911949685535
t	r	u	54	1562	0.0345710627400768
Q	l	 	16	463	0.0345572354211663
U	S	w	1	29	0.0344827586206897
h	V	z	4	116	0.0344827586206897
U	S	V	1	29	0.0344827586206897
d	2	{	6	174	0.0344827586206897
U	S	m	1	29	0.0344827586206897
J	E	f	2	58	0.0344827586206897
U	S	P	1	29	0.0344827586206897
v	#	R	1	29	0.0344827586206897
g	U	z	1	29	0.0344827586206897
U	S	J	1	29	0.0344827586206897
J	2	d	1	29	0.0344827586206897
1	I	f	1	29	0.0344827586206897
v	#	l	1	29	0.0344827586206897
w	8	f	3	87	0.0344827586206897
P	d	r	2	58	0.0344827586206897
d	1	k	6	174	0.0344827586206897
z	2	m	1	29	0.0344827586206897
g	U	#	1	29	0.0344827586206897
P	d	6	2	58	0.0344827586206897
1	I	 	1	29	0.0344827586206897
U	S	k	1	29	0.0344827586206897
2	f	2	3	87	0.0344827586206897
z	2	l	1	29	0.0344827586206897
w	8	b	3	87	0.0344827586206897
d	2	l	6	174	0.0344827586206897
g	U	r	1	29	0.0344827586206897
m	$	d	4	116	0.0344827586206897
P	d	u	2	58	0.0344827586206897
1	I	S	1	29	0.0344827586206897
v	#	z	1	29	0.0344827586206897
h	V	t	4	116	0.0344827586206897
U	S	5	1	29	0.0344827586206897
h	V	g	4	116	0.0344827586206897
v	#	m	1	29	0.0344827586206897
h	V	f	4	116	0.0344827586206897
J	2	v	1	29	0.0344827586206897
g	l	1	8	232	0.0344827586206897
w	I	D	18	523	0.0344168260038241
r	@	m	62	1803	0.0343871325568497
E	n	 	48	1396	0.0343839541547278
r	5	z	22	640	0.034375
n	f	2	10	291	0.0343642611683849
n	f	{	10	291	0.0343642611683849
_	I	b	17	495	0.0343434343434343
t	Q	g	8	233	0.0343347639484979
p	{	d	14	408	0.0343137254901961
1	v	d	5	146	0.0342465753424658
2	p	E	4	117	0.0341880341880342
n	V	r	4	117	0.0341880341880342
2	p	l	4	117	0.0341880341880342
2	p	#	4	117	0.0341880341880342
z	@	d	15	439	0.0341685649202733
z	@	r	15	439	0.0341685649202733
 	t	5	60	1756	0.0341685649202733
 	m	$	69	2020	0.0341584158415842
i	d	P	10	293	0.0341296928327645
l	{	d	20	586	0.0341296928327645
i	d	5	10	293	0.0341296928327645
 	s	w	156	4571	0.0341281995187049
$	m	l	6	176	0.0340909090909091
$	m	d	6	176	0.0340909090909091
s	n	1	11	323	0.0340557275541796
t	s	p	8	235	0.0340425531914894
 	f	V	66	1939	0.0340381640020629
b	I	h	23	676	0.0340236686390533
n	J	2	5	147	0.0340136054421769
7	s	2	5	147	0.0340136054421769
7	s	I	5	147	0.0340136054421769
 	p	1	105	3089	0.0339915830365814
t	3	_	7	206	0.0339805825242718
t	3	k	7	206	0.0339805825242718
h	6	l	4	118	0.0338983050847458
2	d	7	12	354	0.0338983050847458
6	d	m	2	59	0.0338983050847458
6	d	k	2	59	0.0338983050847458
h	6	z	4	118	0.0338983050847458
h	6	d	4	118	0.0338983050847458
u	s	H	6	177	0.0338983050847458
 	w	V	37	1092	0.0338827838827839
t	{	J	13	384	0.0338541666666667
g	r	V	23	680	0.0338235294117647
I	l	{	44	1301	0.0338201383551115
2	t	n	17	503	0.0337972166998012
2	z	d	15	444	0.0337837837837838
l	5	b	14	415	0.0337349397590361
r	E	l	34	1008	0.0337301587301587
E	z	j	3	89	0.0337078651685393
r	#	d	6	178	0.0337078651685393
E	z	P	3	89	0.0337078651685393
5	I	l	3	89	0.0337078651685393
E	z	m	3	89	0.0337078651685393
p	$	p	6	178	0.0337078651685393
5	I	g	3	89	0.0337078651685393
 	s	2	154	4571	0.0336906584992343
l	i	_	11	327	0.0336391437308868
l	i	 	11	327	0.0336391437308868
b	#	t	4	119	0.0336134453781513
6	t	b	8	238	0.0336134453781513
n	z	v	4	119	0.0336134453781513
b	#	_	4	119	0.0336134453781513
n	z	7	4	119	0.0336134453781513
b	#	g	4	119	0.0336134453781513
6	t	I	8	238	0.0336134453781513
Q	n	f	25	744	0.0336021505376344
S	I	n	9	268	0.0335820895522388
@	p	{	14	417	0.0335731414868106
N	k	w	15	447	0.0335570469798658
N	k	l	15	447	0.0335570469798658
I	k	w	85	2534	0.0335438042620363
 	f	U	65	1939	0.0335224342444559
i	m	1	6	179	0.0335195530726257
i	m	{	6	179	0.0335195530726257
r	u	T	13	388	0.0335051546391753
#	n	J	7	209	0.0334928229665072
I	v	1	31	926	0.0334773218142549
5	t	i	10	299	0.0334448160535117
r	i	l	26	778	0.0334190231362468
@	k	#	13	389	0.0334190231362468
@	k	$	13	389	0.0334190231362468
S	m	q	1	30	0.0333333333333333
4	s	H	1	30	0.0333333333333333
N	b	#	1	30	0.0333333333333333
S	m	Q	1	30	0.0333333333333333
i	@	f	2	60	0.0333333333333333
n	T	l	3	90	0.0333333333333333
n	u	g	1	30	0.0333333333333333
N	b	{	1	30	0.0333333333333333
N	b	4	1	30	0.0333333333333333
E	f	5	4	120	0.0333333333333333
g	2	@	1	30	0.0333333333333333
n	1	 	10	300	0.0333333333333333
z	m	E	3	90	0.0333333333333333
T	w	I	1	30	0.0333333333333333
S	m	$	1	30	0.0333333333333333
w	2	f	6	180	0.0333333333333333
N	b	U	1	30	0.0333333333333333
g	2	{	1	30	0.0333333333333333
n	T	Q	3	90	0.0333333333333333
4	s	5	1	30	0.0333333333333333
T	i	m	1	30	0.0333333333333333
n	T	7	3	90	0.0333333333333333
V	l	f	10	300	0.0333333333333333
n	k	j	10	300	0.0333333333333333
N	b	6	1	30	0.0333333333333333
n	1	J	10	300	0.0333333333333333
3	p	E	2	60	0.0333333333333333
i	@	_	2	60	0.0333333333333333
n	u	s	1	30	0.0333333333333333
f	l	u	15	450	0.0333333333333333
g	2	g	1	30	0.0333333333333333
n	1	v	10	300	0.0333333333333333
N	b	l	1	30	0.0333333333333333
N	b	u	1	30	0.0333333333333333
4	s	l	1	30	0.0333333333333333
z	m	P	3	90	0.0333333333333333
T	i	z	1	30	0.0333333333333333
1	s	l	10	300	0.0333333333333333
4	s	@	1	30	0.0333333333333333
z	m	j	3	90	0.0333333333333333
n	u	m	1	30	0.0333333333333333
T	l	i	1	30	0.0333333333333333
n	k	#	10	300	0.0333333333333333
#	d	z	6	180	0.0333333333333333
m	5	z	8	240	0.0333333333333333
n	1	k	10	300	0.0333333333333333
T	i	d	1	30	0.0333333333333333
n	T	i	3	90	0.0333333333333333
T	@	t	2	60	0.0333333333333333
n	u	t	1	30	0.0333333333333333
k	l	7	19	571	0.0332749562171629
 	_	$	18	541	0.033271719038817
I	z	2	21	632	0.0332278481012658
I	z	m	21	632	0.0332278481012658
i	t	5	10	301	0.0332225913621262
I	N	z	59	1776	0.0332207207207207
l	u	p	9	271	0.033210332103321
t	5	l	9	271	0.033210332103321
r	1	l	29	874	0.0331807780320366
V	b	t	7	211	0.033175355450237
@	g	I	6	181	0.0331491712707182
@	g	#	6	181	0.0331491712707182
@	g	l	6	181	0.0331491712707182
 	b	#	73	2203	0.0331366318656378
k	w	8	18	544	0.0330882352941176
u	n	2	8	242	0.0330578512396694
b	r	6	18	545	0.0330275229357798
 	h	i	49	1484	0.0330188679245283
 	f	Q	64	1939	0.0330067044868489
k	1	n	13	394	0.032994923857868
d	n	2	3	91	0.032967032967033
d	n	@	3	91	0.032967032967033
 	d	{	75	2278	0.0329236172080773
n	_	4	8	243	0.0329218106995885
n	_	m	8	243	0.0329218106995885
g	{	b	5	152	0.0328947368421053
j	u	S	36	1095	0.0328767123287671
i	g	{	2	61	0.0327868852459016
N	z	g	2	61	0.0327868852459016
w	{	m	2	61	0.0327868852459016
b	3	l	4	122	0.0327868852459016
k	J	1	2	61	0.0327868852459016
_	u	 	2	61	0.0327868852459016
w	{	s	2	61	0.0327868852459016
N	z	Q	2	61	0.0327868852459016
U	d	l	4	122	0.0327868852459016
_	u	I	2	61	0.0327868852459016
t	8	w	2	61	0.0327868852459016
@	S	E	2	61	0.0327868852459016
U	d	k	4	122	0.0327868852459016
p	6	J	2	61	0.0327868852459016
i	g	l	2	61	0.0327868852459016
p	l	Q	21	641	0.0327613104524181
p	l	4	21	641	0.0327613104524181
p	l	#	21	641	0.0327613104524181
p	l	@	21	641	0.0327613104524181
s	p	1	30	916	0.0327510917030568
d	r	#	13	397	0.0327455919395466
 	b	i	72	2203	0.0326827054017249
 	b	U	72	2203	0.0326827054017249
t	V	s	5	153	0.0326797385620915
t	2	 	10	306	0.0326797385620915
d	E	T	11	337	0.0326409495548961
#	k	t	6	184	0.0326086956521739
@	w	E	3	92	0.0326086956521739
@	w	i	3	92	0.0326086956521739
E	_	h	3	92	0.0326086956521739
f	3	b	3	92	0.0326086956521739
@	w	U	3	92	0.0326086956521739
f	3	r	3	92	0.0326086956521739
l	1	v	19	583	0.032590051457976
$	k	S	4	123	0.032520325203252
U	k	s	4	123	0.032520325203252
w	I	g	17	523	0.0325047801147228
5	d	P	5	154	0.0324675324675325
b	2	k	5	154	0.0324675324675325
b	2	d	5	154	0.0324675324675325
{	N	@	10	308	0.0324675324675325
2	m	d	5	154	0.0324675324675325
p	3	J	6	185	0.0324324324324324
u	d	l	6	185	0.0324324324324324
p	3	R	6	185	0.0324324324324324
n	{	v	7	216	0.0324074074074074
d	I	m	67	2068	0.0323984526112186
t	P	z	8	247	0.0323886639676113
@	d	1	18	556	0.0323741007194245
f	$	n	11	340	0.0323529411764706
f	$	f	11	340	0.0323529411764706
n	n	3	1	31	0.032258064516129
g	Q	t	3	93	0.032258064516129
n	n	V	1	31	0.032258064516129
V	z	l	1	31	0.032258064516129
V	p	S	8	248	0.032258064516129
g	Q	N	3	93	0.032258064516129
#	J	I	1	31	0.032258064516129
n	$	w	3	93	0.032258064516129
#	J	l	1	31	0.032258064516129
s	g	l	1	31	0.032258064516129
E	s	J	24	744	0.032258064516129
T	3	z	1	31	0.032258064516129
I	T	r	2	62	0.032258064516129
T	r	$	4	124	0.032258064516129
#	J	b	1	31	0.032258064516129
I	T	i	2	62	0.032258064516129
g	Q	_	3	93	0.032258064516129
#	J	w	1	31	0.032258064516129
_	2	 	1	31	0.032258064516129
I	T	5	2	62	0.032258064516129
5	_	 	1	31	0.032258064516129
g	Q	T	3	93	0.032258064516129
s	g	U	1	31	0.032258064516129
n	n	2	1	31	0.032258064516129
V	p	h	8	248	0.032258064516129
I	T	@	2	62	0.032258064516129
#	J	m	1	31	0.032258064516129
5	_	7	1	31	0.032258064516129
s	g	$	1	31	0.032258064516129
r	@	d	58	1803	0.0321686078757626
t	E	d	17	529	0.0321361058601134
r	i	@	25	778	0.032133676092545
d	l	Q	9	281	0.0320284697508897
s	@	f	26	812	0.0320197044334975
d	{	N	4	125	0.032
d	{	v	4	125	0.032
r	$	b	4	125	0.032
r	$	s	4	125	0.032
r	$	I	4	125	0.032
h	I	J	4	125	0.032
 	f	5	62	1939	0.0319752449716349
 	f	i	62	1939	0.0319752449716349
n	5	I	7	219	0.0319634703196347
n	5	d	7	219	0.0319634703196347
{	b	n	7	219	0.0319634703196347
 	r	Q	64	2005	0.0319201995012469
2	@	d	15	470	0.0319148936170213
3	d	z	3	94	0.0319148936170213
j	U	b	15	470	0.0319148936170213
w	1	_	8	251	0.0318725099601594
p	{	N	13	408	0.0318627450980392
k	@	b	56	1758	0.0318543799772469
5	m	#	6	189	0.0317460317460317
I	r	#	8	252	0.0317460317460317
_	i	@	2	63	0.0317460317460317
I	r	7	8	252	0.0317460317460317
 	s	i	145	4571	0.0317217239116167
$	t	5	13	410	0.0317073170731707
$	t	s	13	410	0.0317073170731707
r	I	l	102	3218	0.0316967060285892
 	l	$	40	1262	0.0316957210776545
 	h	1	47	1484	0.0316711590296496
 	5	d	10	316	0.0316455696202532
n	s	p	45	1422	0.0316455696202532
Q	b	v	5	158	0.0316455696202532
w	E	d	8	253	0.0316205533596838
j	9	n	9	285	0.0315789473684211
V	k	j	7	222	0.0315315315315315
2	l	2	7	222	0.0315315315315315
s	5	n	5	159	0.0314465408805031
s	5	b	5	159	0.0314465408805031
s	5	d	5	159	0.0314465408805031
d	I	v	65	2068	0.031431334622824
b	E	g	6	191	0.031413612565445
 	p	5	97	3089	0.0314017481385562
 	p	i	97	3089	0.0314017481385562
p	1	d	7	223	0.031390134529148
p	1	_	7	223	0.031390134529148
m	Q	t	7	223	0.031390134529148
l	I	n	146	4653	0.031377605845691
E	d	s	13	415	0.0313253012048193
E	d	j	13	415	0.0313253012048193
s	I	p	54	1724	0.031322505800464
 	t	$	55	1756	0.0313211845102506
 	b	1	69	2203	0.0313209260099864
5	h	2	1	32	0.03125
m	1	_	8	256	0.03125
m	f	E	2	64	0.03125
5	h	8	1	32	0.03125
h	2	m	5	160	0.03125
m	f	1	2	64	0.03125
z	l	#	1	32	0.03125
z	l	1	1	32	0.03125
5	h	$	1	32	0.03125
h	1	d	2	64	0.03125
m	1	z	8	256	0.03125
w	7	w	1	32	0.03125
h	#	 	6	192	0.03125
3	g	{	1	32	0.03125
h	1	 	2	64	0.03125
z	l	2	1	32	0.03125
Q	S	r	2	64	0.03125
z	l	E	1	32	0.03125
h	1	k	2	64	0.03125
5	h	3	1	32	0.03125
H	z	I	1	32	0.03125
s	3	p	6	192	0.03125
t	{	s	12	384	0.03125
5	h	U	1	32	0.03125
3	g	1	1	32	0.03125
z	l	Q	1	32	0.03125
Q	S	H	2	64	0.03125
5	h	E	1	32	0.03125
s	3	m	6	192	0.03125
3	m	E	5	160	0.03125
v	4	l	1	32	0.03125
5	h	#	1	32	0.03125
h	1	S	2	64	0.03125
h	1	n	2	64	0.03125
w	7	m	1	32	0.03125
t	f	2	4	128	0.03125
Q	S	k	2	64	0.03125
z	l	7	1	32	0.03125
z	l	i	1	32	0.03125
m	{	_	17	545	0.0311926605504587
@	p	#	13	417	0.0311750599520384
i	n	T	12	385	0.0311688311688312
5	k	P	8	257	0.0311284046692607
5	k	w	8	257	0.0311284046692607
5	k	l	8	257	0.0311284046692607
n	2	d	7	225	0.0311111111111111
5	p	1	6	193	0.0310880829015544
9	r	{	6	193	0.0310880829015544
k	{	v	16	515	0.0310679611650485
I	f	l	19	612	0.0310457516339869
E	k	w	28	902	0.0310421286031042
k	6	J	4	129	0.0310077519379845
v	I	v	15	484	0.0309917355371901
t	1	p	15	484	0.0309917355371901
 	@	g	29	936	0.030982905982906
s	n	Q	10	323	0.0309597523219814
l	k	w	3	97	0.0309278350515464
l	k	5	3	97	0.0309278350515464
r	U	g	3	97	0.0309278350515464
r	u	b	12	388	0.0309278350515464
n	f	i	9	291	0.0309278350515464
v	P	@	3	97	0.0309278350515464
d	Q	N	5	162	0.0308641975308642
d	Q	f	5	162	0.0308641975308642
d	Q	_	5	162	0.0308641975308642
p	S	P	2	65	0.0307692307692308
1	m	z	4	130	0.0307692307692308
p	S	u	2	65	0.0307692307692308
p	S	1	2	65	0.0307692307692308
p	S	n	2	65	0.0307692307692308
s	J	U	2	65	0.0307692307692308
@	_	2	6	195	0.0307692307692308
@	l	E	54	1756	0.030751708428246
l	{	g	18	586	0.0307167235494881
k	@	t	54	1758	0.0307167235494881
t	m	1	3	98	0.0306122448979592
3	t	l	6	196	0.0306122448979592
t	m	8	3	98	0.0306122448979592
t	m	E	3	98	0.0306122448979592
t	m	$	3	98	0.0306122448979592
E	t	s	15	490	0.0306122448979592
3	t	1	6	196	0.0306122448979592
s	t	E	103	3367	0.0305910305910306
s	E	r	23	752	0.0305851063829787
V	n	J	30	981	0.0305810397553517
V	n	r	30	981	0.0305810397553517
@	d	@	17	556	0.0305755395683453
@	d	Q	17	556	0.0305755395683453
 	i	m	4	131	0.0305343511450382
g	n	E	4	131	0.0305343511450382
 	i	 	4	131	0.0305343511450382
l	$	l	4	131	0.0305343511450382
l	$	s	4	131	0.0305343511450382
l	$	f	4	131	0.0305343511450382
 	i	l	4	131	0.0305343511450382
l	@	b	41	1343	0.0305286671630678
l	f	1	6	197	0.0304568527918782
w	3	T	6	197	0.0304568527918782
w	3	s	6	197	0.0304568527918782
w	3	S	6	197	0.0304568527918782
r	I	_	98	3218	0.0304536979490367
I	k	j	77	2534	0.0303867403314917
n	I	z	63	2074	0.0303760848601736
n	h	7	2	66	0.0303030303030303
n	h	$	2	66	0.0303030303030303
f	1	S	4	132	0.0303030303030303
n	h	1	2	66	0.0303030303030303
k	n	E	2	66	0.0303030303030303
h	{	k	8	264	0.0303030303030303
k	n	1	2	66	0.0303030303030303
k	n	2	2	66	0.0303030303030303
n	h	3	2	66	0.0303030303030303
d	m	E	2	66	0.0303030303030303
n	h	6	2	66	0.0303030303030303
d	m	V	2	66	0.0303030303030303
n	h	2	2	66	0.0303030303030303
f	1	b	4	132	0.0303030303030303
b	l	i	19	627	0.0303030303030303
I	Q	p	2	66	0.0303030303030303
u	f	1	2	66	0.0303030303030303
h	{	z	8	264	0.0303030303030303
h	{	J	8	264	0.0303030303030303
k	n	@	2	66	0.0303030303030303
S	{	p	2	66	0.0303030303030303
u	f	U	2	66	0.0303030303030303
n	h	Q	2	66	0.0303030303030303
f	1	k	4	132	0.0303030303030303
 	S	2	15	496	0.030241935483871
m	E	Z	13	430	0.0302325581395349
 	w	{	33	1092	0.0302197802197802
@	m	1	34	1126	0.0301953818827709
g	l	2	7	232	0.0301724137931034
2	n	{	14	464	0.0301724137931034
b	Q	g	6	199	0.0301507537688442
d	i	b	6	199	0.0301507537688442
 	#	n	6	199	0.0301507537688442
{	l	p	15	498	0.0301204819277108
5	n	d	10	332	0.0301204819277108
m	@	 	39	1296	0.0300925925925926
1	p	P	4	133	0.0300751879699248
5	z	b	4	133	0.0300751879699248
 	6	l	4	133	0.0300751879699248
5	z	7	4	133	0.0300751879699248
1	z	7	4	133	0.0300751879699248
I	z	E	19	632	0.0300632911392405
i	s	T	7	233	0.0300429184549356
i	s	@	7	233	0.0300429184549356
i	f	5	3	100	0.03
p	#	R	6	200	0.03
u	m	E	6	200	0.03
i	f	E	3	100	0.03
n	1	b	9	300	0.03
i	l	5	6	200	0.03
V	l	S	9	300	0.03
i	f	t	3	100	0.03
m	V	z	6	200	0.03
m	V	k	6	200	0.03
 	b	5	66	2203	0.0299591466182478
#	f	k	5	167	0.029940119760479
Q	f	h	5	167	0.029940119760479
i	t	l	9	301	0.0299003322259136
n	p	{	2	67	0.0298507462686567
d	b	U	2	67	0.0298507462686567
5	v	3	8	268	0.0298507462686567
n	@	k	28	938	0.0298507462686567
n	p	i	2	67	0.0298507462686567
k	E	r	2	67	0.0298507462686567
n	p	U	2	67	0.0298507462686567
d	b	V	2	67	0.0298507462686567
p	t	5	8	268	0.0298507462686567
n	p	$	2	67	0.0298507462686567
l	Q	r	12	402	0.0298507462686567
n	p	#	2	67	0.0298507462686567
d	5	b	4	134	0.0298507462686567
n	p	6	2	67	0.0298507462686567
d	5	p	4	134	0.0298507462686567
j	U	p	14	470	0.0297872340425532
t	@	t	66	2216	0.0297833935018051
k	l	6	17	571	0.0297723292469352
k	l	@	17	571	0.0297723292469352
n	v	7	5	168	0.0297619047619048
n	v	Q	5	168	0.0297619047619048
 	s	n	136	4571	0.0297527893239991
b	V	_	6	202	0.0297029702970297
l	#	Z	6	202	0.0297029702970297
$	l	z	10	337	0.029673590504451
T	I	5	4	135	0.0296296296296296
T	I	Q	4	135	0.0296296296296296
b	i	k	4	135	0.0296296296296296
h	Q	N	4	135	0.0296296296296296
h	Q	k	4	135	0.0296296296296296
d	@	 	26	878	0.0296127562642369
Q	N	I	5	169	0.029585798816568
Q	N	b	5	169	0.029585798816568
s	I	f	51	1724	0.0295823665893271
 	E	_	16	541	0.0295748613678373
 	_	1	16	541	0.0295748613678373
z	I	g	11	372	0.0295698924731183
Q	d	j	6	203	0.0295566502463054
@	s	k	40	1354	0.0295420974889217
w	Q	p	7	237	0.029535864978903
l	u	k	8	271	0.029520295202952
 	b	3	65	2203	0.029505220154335
v	d	1	1	34	0.0294117647058824
t	u	h	3	102	0.0294117647058824
1	f	E	1	34	0.0294117647058824
t	u	f	3	102	0.0294117647058824
E	b	z	1	34	0.0294117647058824
1	g	n	1	34	0.0294117647058824
{	_	 	2	68	0.0294117647058824
1	g	j	1	34	0.0294117647058824
p	{	S	12	408	0.0294117647058824
d	h	U	1	34	0.0294117647058824
d	h	1	1	34	0.0294117647058824
6	t	k	7	238	0.0294117647058824
v	d	w	1	34	0.0294117647058824
3	f	d	1	34	0.0294117647058824
1	_	j	3	102	0.0294117647058824
d	h	V	1	34	0.0294117647058824
6	t	d	7	238	0.0294117647058824
v	d	r	1	34	0.0294117647058824
E	b	d	1	34	0.0294117647058824
1	_	l	3	102	0.0294117647058824
p	7	h	2	68	0.0294117647058824
$	J	l	1	34	0.0294117647058824
E	b	l	1	34	0.0294117647058824
3	n	t	5	170	0.0294117647058824
1	g	3	1	34	0.0294117647058824
$	J	g	1	34	0.0294117647058824
p	7	 	2	68	0.0294117647058824
1	g	#	1	34	0.0294117647058824
d	h	$	1	34	0.0294117647058824
p	{	T	12	408	0.0294117647058824
1	f	d	1	34	0.0294117647058824
E	b	$	1	34	0.0294117647058824
$	J	i	1	34	0.0294117647058824
g	z	3	3	102	0.0294117647058824
1	g	l	1	34	0.0294117647058824
v	d	l	1	34	0.0294117647058824
1	g	V	1	34	0.0294117647058824
1	_	m	3	102	0.0294117647058824
p	E	p	12	408	0.0294117647058824
t	u	b	3	102	0.0294117647058824
t	u	s	3	102	0.0294117647058824
 	f	3	57	1939	0.0293965961835998
k	I	S	19	647	0.0293663060278207
m	{	J	16	545	0.0293577981651376
