		syllabic	consonantal	hi	lo	bk	rnd	long	diphthong	reduced	rhotacized	nasal	labial	coronal	dorsal	bilabial	dental	alveolar	palatal	velar	obstruent	sonorant	stop	continuant	glide	consonantal	oral	affricate	strident	distributed	lateral	rhotic	nasal	voice	voiceless	spread glottis
"f,"	102	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"v,"	118	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"m,"	109	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"+,"	"0,"	"0,"
"t,"	116	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"d,"	100	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"T,"	84	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"D,"	68	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"s,"	115	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"z,"	122	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
"S,"	83	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"
"Z,"	90	"-,"	"+,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"+,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"	"0,"	"0,"	"+,"	"0,"	"0,"
